"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2003","22.236","22.051","22.310","22.051","282,07M","0,87%"
"29.12.2003","22.045","21.815","22.046","21.815","199,68M","1,10%"
"26.12.2003","21.807","21.688","21.829","21.688","989,48M","0,54%"
"23.12.2003","21.688","21.631","21.914","21.631","259,01M","0,27%"
"22.12.2003","21.630","21.386","21.630","21.344","199,02M","1,14%"
"19.12.2003","21.386","21.489","21.671","21.381","262,17M","-0,48%"
"18.12.2003","21.489","21.199","21.502","21.195","267,06M","1,37%"
"17.12.2003","21.199","20.763","21.318","20.763","436,62M","2,12%"
"16.12.2003","20.760","20.710","20.842","20.544","246,95M","0,24%"
"15.12.2003","20.710","20.974","21.381","20.709","365,54M","-1,26%"
"12.12.2003","20.974","21.296","21.514","20.873","303,35M","-1,51%"
"11.12.2003","21.296","20.971","21.459","20.971","420,36M","1,54%"
"10.12.2003","20.973","21.258","21.394","20.930","471,91M","-1,35%"
"09.12.2003","21.260","20.889","21.363","20.889","413,53M","1,78%"
"08.12.2003","20.889","20.882","20.937","20.673","244,32M","0,04%"
"05.12.2003","20.880","20.418","20.922","20.418","317,23M","2,28%"
"04.12.2003","20.414","20.540","20.570","20.323","251,50M","-0,61%"
"03.12.2003","20.540","20.462","20.586","20.322","283,21M","0,40%"
"02.12.2003","20.458","20.523","20.630","20.354","304,97M","-0,30%"
"01.12.2003","20.521","20.184","20.522","20.184","347,78M","1,67%"
"28.11.2003","20.184","19.962","20.188","19.848","302,21M","1,12%"
"27.11.2003","19.961","19.695","19.961","19.616","180,73M","1,35%"
"26.11.2003","19.695","19.810","20.002","19.667","240,94M","-0,58%"
"25.11.2003","19.810","19.694","19.820","19.615","257,63M","0,61%"
"24.11.2003","19.691","19.258","19.730","19.258","329,51M","2,30%"
"21.11.2003","19.248","19.197","19.376","19.144","296,39M","0,26%"
"20.11.2003","19.199","18.815","19.262","18.815","332,02M","2,08%"
"19.11.2003","18.807","18.819","18.857","18.610","255,26M","-0,03%"
"18.11.2003","18.813","18.669","19.022","18.669","353,84M","0,77%"
"17.11.2003","18.669","18.985","18.985","18.648","389,06M","-1,67%"
"14.11.2003","18.986","18.763","19.052","18.712","441,96M","1,23%"
"13.11.2003","18.755","18.795","19.115","18.677","440,98M","-0,21%"
"12.11.2003","18.794","18.409","18.812","18.352","340,78M","2,09%"
"11.11.2003","18.409","18.572","18.572","18.261","373,66M","-0,88%"
"10.11.2003","18.572","18.672","18.725","18.435","252,87M","-0,54%"
"07.11.2003","18.672","18.614","18.907","18.614","260,12M","0,32%"
"06.11.2003","18.613","18.307","18.680","18.307","351,07M","1,67%"
"05.11.2003","18.307","18.545","18.563","18.267","345,96M","-1,26%"
"04.11.2003","18.541","18.519","18.714","18.456","359,17M","0,13%"
"03.11.2003","18.517","17.983","18.517","17.983","291,39M","2,97%"
"31.10.2003","17.982","18.095","18.218","17.912","266,03M","-0,62%"
"30.10.2003","18.094","17.945","18.193","17.731","298,65M","0,83%"
"29.10.2003","17.945","18.228","18.454","17.945","329,64M","-1,55%"
"28.10.2003","18.228","17.750","18.228","17.691","268,47M","2,69%"
"27.10.2003","17.750","17.820","17.964","17.664","249,00M","-0,36%"
"24.10.2003","17.814","17.687","17.835","17.340","232,86M","0,70%"
"23.10.2003","17.690","18.235","18.235","17.592","406,04M","-2,99%"
"22.10.2003","18.235","18.449","18.449","18.221","298,19M","-1,16%"
"21.10.2003","18.449","18.370","18.660","18.370","378,08M","0,43%"
"20.10.2003","18.370","17.791","18.399","17.770","361,63M","3,25%"
"17.10.2003","17.791","17.923","17.946","17.679","205,45M","-0,92%"
"16.10.2003","17.955","17.944","18.075","17.834","280,56M","0,07%"
"15.10.2003","17.942","18.176","18.313","17.819","616,25M","-1,30%"
"14.10.2003","18.178","18.063","18.246","18.063","363,33M","0,64%"
"13.10.2003","18.062","17.676","18.075","17.676","379,98M","2,18%"
"10.10.2003","17.676","17.699","17.834","17.496","284,91M","-0,18%"
"09.10.2003","17.708","17.805","18.060","17.553","521,46M","-0,54%"
"08.10.2003","17.805","17.474","17.952","17.474","531,00M","1,92%"
"07.10.2003","17.470","17.278","17.537","17.134","516,18M","1,14%"
"06.10.2003","17.273","17.090","17.346","17.026","292,97M","1,08%"
"03.10.2003","17.089","16.898","17.290","16.898","463,16M","1,16%"
"02.10.2003","16.894","16.582","17.070","16.582","547,89M","1,90%"
"01.10.2003","16.579","16.010","16.609","16.010","366,08M","3,55%"
"30.09.2003","16.011","16.109","16.287","16.010","273,74M","-0,61%"
"29.09.2003","16.109","15.810","16.115","15.768","210,48M","1,89%"
"26.09.2003","15.811","15.807","16.113","15.773","283,62M","0,03%"
"25.09.2003","15.806","16.058","16.203","15.775","351,80M","-1,57%"
"24.09.2003","16.058","16.446","16.636","16.053","289,88M","-2,35%"
"23.09.2003","16.444","16.488","16.542","16.226","291,78M","-0,26%"
"22.09.2003","16.486","16.850","16.850","16.450","286,68M","-2,17%"
"19.09.2003","16.851","16.890","17.104","16.822","396,65M","-0,22%"
"18.09.2003","16.889","16.492","16.911","16.424","495,29M","2,41%"
"17.09.2003","16.492","16.280","16.492","16.225","353,74M","1,37%"
"16.09.2003","16.270","16.354","16.496","16.258","387,27M","-0,44%"
"15.09.2003","16.342","16.423","16.601","16.277","446,07M","-0,48%"
"12.09.2003","16.421","16.283","16.508","16.058","416,80M","0,79%"
"11.09.2003","16.292","15.985","16.454","15.985","472,82M","1,93%"
"10.09.2003","15.983","15.716","15.997","15.492","438,73M","1,69%"
"09.09.2003","15.718","16.051","16.062","15.699","428,00M","-2,07%"
"08.09.2003","16.050","15.904","16.239","15.895","473,88M","0,95%"
"05.09.2003","15.900","15.707","15.951","15.610","353,26M","1,24%"
"04.09.2003","15.705","15.635","15.884","15.564","374,26M","0,45%"
"03.09.2003","15.634","15.455","15.690","15.455","450,61M","1,16%"
"02.09.2003","15.454","15.352","15.475","15.321","309,80M","0,67%"
"01.09.2003","15.352","15.174","15.374","15.075","196,46M","1,17%"
"29.08.2003","15.174","15.065","15.197","14.857","308,40M","0,73%"
"28.08.2003","15.065","15.151","15.252","14.929","341,34M","-0,52%"
"27.08.2003","15.143","14.876","15.143","14.876","357,64M","1,78%"
"26.08.2003","14.878","14.475","14.948","14.425","376,74M","2,79%"
"25.08.2003","14.473","14.613","14.714","14.426","256,87M","-0,96%"
"22.08.2003","14.613","14.670","14.765","14.589","322,55M","-0,39%"
"21.08.2003","14.670","14.470","14.687","14.398","454,70M","1,40%"
"20.08.2003","14.467","14.158","14.506","14.058","442,34M","2,18%"
"19.08.2003","14.158","14.147","14.236","14.091","340,29M","0,08%"
"18.08.2003","14.146","13.900","14.147","13.900","314,11M","1,85%"
"15.08.2003","13.890","13.810","13.952","13.744","207,70M","0,56%"
"14.08.2003","13.812","13.683","13.849","13.529","217,79M","0,95%"
"13.08.2003","13.682","13.597","13.858","13.542","468,34M","0,59%"
"12.08.2003","13.602","13.559","13.766","13.553","214,67M","0,31%"
"11.08.2003","13.560","13.500","13.582","13.442","157,44M","0,45%"
"08.08.2003","13.500","13.333","13.513","13.333","267,09M","1,29%"
"07.08.2003","13.328","12.892","13.350","12.892","273,70M","3,42%"
"06.08.2003","12.888","13.060","13.188","12.839","311,43M","-1,31%"
"05.08.2003","13.059","12.940","13.112","12.940","288,34M","0,93%"
"04.08.2003","12.939","13.128","13.128","12.757","275,36M","-1,45%"
"01.08.2003","13.130","13.579","13.579","13.130","292,06M","-3,26%"
"31.07.2003","13.572","13.475","13.615","13.475","253,61M","0,72%"
"30.07.2003","13.475","13.623","13.698","13.453","221,34M","-1,09%"
"29.07.2003","13.623","13.652","13.704","13.577","241,49M","-0,15%"
"28.07.2003","13.643","13.752","13.783","13.605","232,43M","-0,78%"
"25.07.2003","13.750","13.761","13.868","13.661","255,05M","-0,08%"
"24.07.2003","13.761","13.799","13.947","13.755","244,37M","-0,27%"
"23.07.2003","13.799","13.852","13.942","13.755","309,00M","-0,26%"
"22.07.2003","13.835","13.676","13.867","13.671","224,47M","1,17%"
"21.07.2003","13.676","13.794","13.859","13.676","232,95M","-0,86%"
"18.07.2003","13.794","13.622","13.809","13.622","249,39M","1,26%"
"17.07.2003","13.622","13.487","13.636","13.360","242,62M","1,00%"
"16.07.2003","13.487","13.613","13.633","13.435","174,04M","-0,93%"
"15.07.2003","13.614","13.593","13.736","13.568","227,20M","0,19%"
"14.07.2003","13.588","13.322","13.635","13.322","196,83M","2,01%"
"11.07.2003","13.321","13.498","13.522","13.287","229,61M","-1,34%"
"10.07.2003","13.501","13.622","13.622","13.407","229,20M","-0,86%"
"08.07.2003","13.619","13.401","13.619","13.339","218,25M","1,62%"
"07.07.2003","13.402","13.274","13.444","13.273","277,04M","0,97%"
"04.07.2003","13.274","13.135","13.292","13.067","151,76M","1,06%"
"03.07.2003","13.134","13.308","13.309","13.134","183,26M","-1,32%"
"02.07.2003","13.310","13.292","13.376","13.240","189,25M","0,15%"
"01.07.2003","13.291","12.967","13.291","12.893","281,65M","2,46%"
"30.06.2003","12.973","13.027","13.066","12.930","187,87M","-0,40%"
"27.06.2003","13.024","13.112","13.193","12.976","243,80M","-0,67%"
"26.06.2003","13.112","13.031","13.237","13.030","326,24M","0,66%"
"25.06.2003","13.026","13.110","13.286","13.015","433,65M","-0,63%"
"24.06.2003","13.108","12.993","13.204","12.993","291,85M","0,90%"
"23.06.2003","12.991","13.132","13.273","12.895","268,13M","-1,06%"
"20.06.2003","13.131","13.514","13.514","13.105","270,44M","-2,81%"
"18.06.2003","13.511","13.790","13.890","13.372","527,95M","-1,93%"
"17.06.2003","13.777","13.843","13.973","13.732","300,58M","-0,41%"
"16.06.2003","13.833","13.737","13.963","13.697","270,44M","0,72%"
"13.06.2003","13.734","13.980","14.047","13.677","326,21M","-1,78%"
"12.06.2003","13.983","13.901","14.007","13.738","301,45M","0,77%"
"11.06.2003","13.877","13.898","13.930","13.721","296,07M","-0,12%"
"10.06.2003","13.894","13.869","14.072","13.808","358,35M","0,35%"
"09.06.2003","13.846","13.926","13.979","13.810","251,15M","-0,56%"
"06.06.2003","13.923","13.794","14.071","13.794","319,42M","1,04%"
"05.06.2003","13.780","13.690","13.908","13.588","361,61M","0,45%"
"04.06.2003","13.718","13.386","13.760","13.374","465,94M","2,76%"
"03.06.2003","13.350","13.231","13.350","13.106","304,12M","0,92%"
"02.06.2003","13.229","13.441","13.505","13.212","299,97M","-1,44%"
"30.05.2003","13.422","13.413","13.541","13.312","319,66M","0,12%"
"29.05.2003","13.405","13.303","13.507","13.301","378,98M","0,83%"
"28.05.2003","13.294","13.257","13.427","13.257","312,82M","0,36%"
"27.05.2003","13.246","12.861","13.321","12.859","288,41M","3,06%"
